,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE,Average School Rating
0,11 Hazelbranch,Aliso Viejo,CA,92656,975000,3,2.5,1470,4950,1993,3,663,http://www.redfin.com/CA/Aliso-Viejo/11-Hazelbranch-92656/home/4857179,OC21181915,33.5926134,-117.7383681,8.333
1,11 Sanderling Ln,Aliso Viejo,CA,92656,850000,3,2.5,1393,3000,1989,3,610,http://www.redfin.com/CA/Laguna-Beach/11-Sanderling-Ln-92656/home/4852010,LG21181169,33.5922402,-117.7492259,9
2,5 Skygate,Aliso Viejo,CA,92656,1350000,4,3,2918,5040,1989,5,463,http://www.redfin.com/CA/Aliso-Viejo/5-Skygate-92656/home/4856114,OC21160272,33.5941792,-117.7400633,8.333
3,15 Starling Ln,Aliso Viejo,CA,92656,995000,3,2.5,1605,3480,1989,6,620,http://www.redfin.com/CA/Aliso-Viejo/15-Starling-Ln-92656/home/4851562,LG21176453,33.596696,-117.744324,9
4,78 Summerland Cir,Aliso Viejo,CA,92656,1549000,4,4.5,3258,5546,2011,10,475,http://www.redfin.com/CA/Aliso-Viejo/78-Summerland-Cir-92656/home/17472883,CV21176676,33.5956524,-117.723661,7.667
5,42 Dawn Ln,Aliso Viejo,CA,92656,1150000,4,2.5,2227,3311,1999,10,516,http://www.redfin.com/CA/Aliso-Viejo/42-Dawn-Ln-92656/home/4869998,OC21175500,33.5694499,-117.7377267,8.333
6,26 Dawn Ln,Aliso Viejo,CA,92656,1250000,3,2.5,2200,3615,2000,10,568,http://www.redfin.com/CA/Aliso-Viejo/26-Dawn-Ln-92656/home/4869982,OC21177947,33.5700058,-117.7367646,8.333
7,11 Emerald Ter,Aliso Viejo,CA,92656,1999000,5,4.5,3700,7329,2010,20,540,http://www.redfin.com/CA/Aliso-Viejo/11-Emerald-Ter-92656/home/17472131,OC21169907,33.5983612,-117.7311293,7.667
8,19 Plateau,Aliso Viejo,CA,92656,1013000,3,3,1439,3727,1999,22,704,http://www.redfin.com/CA/Aliso-Viejo/19-Plateau-92656/home/4866888,OC21166914,33.5758384,-117.7330077,8.333
9,18 Deer Creek Ln,Laguna Hills,CA,92653,850000,3,2.5,1769,4000,1986,31,480,http://www.redfin.com/CA/Laguna-Hills/18-Deer-Creek-Ln-92653/home/4861518,PW21160563,33.5949397,-117.7134432,5.25
10,55 Shorecliff,Aliso Viejo,CA,92656,1050000,4,2.5,1806,4150,1991,32,581,http://www.redfin.com/CA/Aliso-Viejo/55-Shorecliff-92656/home/4857380,OC21159466,33.5888322,-117.7347232,8.333
11,21 Pierremont,Aliso Viejo,CA,92656,1050000,4,2.5,1965,3259,2000,39,534,http://www.redfin.com/CA/Aliso-Viejo/21-Pierremont-92656/home/4867020,OC21152833,33.5761225,-117.7316208,8.333
12,12 Roundtree Ct,Aliso Viejo,CA,92656,2500000,5,4,3642,6867,2000,52,686,http://www.redfin.com/CA/Aliso-Viejo/12-Roundtree-Ct-92656/home/5773870,OC21140075,33.5669424,-117.7404985,8.333
13,32 Groveside Dr,Aliso Viejo,CA,92656,1795000,5,3,3280,6356,1999,87,547,http://www.redfin.com/CA/Aliso-Viejo/32-Groveside-Dr-92656/home/4869619,OC21112699,33.5735638,-117.7384827,8.333
14,6692 Mount Lowe Dr,Buena Park,CA,90620,728000,4,1.5,1527,6000,1959,38,477,http://www.redfin.com/CA/Buena-Park/6692-Mt-Lowe-Dr-90620/home/3662782,OC21142567,33.8209737,-118.0161157,4.667
15,1221 N Lynwood Dr,Anaheim Hills,CA,92807,958900,3,2.5,1846,5500,1980,1,519,http://www.redfin.com/CA/Anaheim/1221-N-Lynwood-Dr-92807/home/4269653,LG21185634,33.8731909,-117.7604496,8
16,1645 S Euclid St,Anaheim,CA,92802,900000,3,1.5,1129,8917,1955,1,797,http://www.redfin.com/CA/Anaheim/1645-S-Euclid-St-92804/home/3610070,OC21185418,33.8064117,-117.9417192,3
