,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE,Average School Rating,Crime per Capita (1000s)
0,11 Hazelbranch,Aliso Viejo,CA,92656,975000,3,2.5,1470.0,4950.0,1993.0,3.0,663.0,http://www.redfin.com/CA/Aliso-Viejo/11-Hazelbranch-92656/home/4857179,OC21181915,33.5926134,-117.73836809999999,8.333,1.6291015026065625
1,11 Sanderling Ln,Aliso Viejo,CA,92656,850000,3,2.5,1393.0,3000.0,1989.0,3.0,610.0,http://www.redfin.com/CA/Laguna-Beach/11-Sanderling-Ln-92656/home/4852010,LG21181169,33.5922402,-117.74922590000001,9.0,1.6291015026065625
2,5 Skygate,Aliso Viejo,CA,92656,1350000,4,3.0,2918.0,5040.0,1989.0,5.0,463.0,http://www.redfin.com/CA/Aliso-Viejo/5-Skygate-92656/home/4856114,OC21160272,33.5941792,-117.74006329999999,8.333,1.6291015026065625
3,15 Starling Ln,Aliso Viejo,CA,92656,995000,3,2.5,1605.0,3480.0,1989.0,6.0,620.0,http://www.redfin.com/CA/Aliso-Viejo/15-Starling-Ln-92656/home/4851562,LG21176453,33.596696,-117.744324,9.0,1.6291015026065625
4,78 Summerland Cir,Aliso Viejo,CA,92656,1549000,4,4.5,3258.0,5546.0,2011.0,10.0,475.0,http://www.redfin.com/CA/Aliso-Viejo/78-Summerland-Cir-92656/home/17472883,CV21176676,33.5956524,-117.723661,7.667,1.6291015026065625
5,42 Dawn Ln,Aliso Viejo,CA,92656,1150000,4,2.5,2227.0,3311.0,1999.0,10.0,516.0,http://www.redfin.com/CA/Aliso-Viejo/42-Dawn-Ln-92656/home/4869998,OC21175500,33.5694499,-117.7377267,8.333,1.6291015026065625
6,26 Dawn Ln,Aliso Viejo,CA,92656,1250000,3,2.5,2200.0,3615.0,2000.0,10.0,568.0,http://www.redfin.com/CA/Aliso-Viejo/26-Dawn-Ln-92656/home/4869982,OC21177947,33.5700058,-117.7367646,8.333,1.6291015026065625
7,11 Emerald Ter,Aliso Viejo,CA,92656,1999000,5,4.5,3700.0,7329.0,2010.0,20.0,540.0,http://www.redfin.com/CA/Aliso-Viejo/11-Emerald-Ter-92656/home/17472131,OC21169907,33.5983612,-117.7311293,7.667,1.6291015026065625
8,19 Plateau,Aliso Viejo,CA,92656,1013000,3,3.0,1439.0,3727.0,1999.0,22.0,704.0,http://www.redfin.com/CA/Aliso-Viejo/19-Plateau-92656/home/4866888,OC21166914,33.575838399999995,-117.7330077,8.333,1.6291015026065625
9,18 Deer Creek Ln,Laguna Hills,CA,92653,850000,3,2.5,1769.0,4000.0,1986.0,31.0,480.0,http://www.redfin.com/CA/Laguna-Hills/18-Deer-Creek-Ln-92653/home/4861518,PW21160563,33.594939700000005,-117.7134432,5.25,2.677376171352075
10,55 Shorecliff,Aliso Viejo,CA,92656,1050000,4,2.5,1806.0,4150.0,1991.0,32.0,581.0,http://www.redfin.com/CA/Aliso-Viejo/55-Shorecliff-92656/home/4857380,OC21159466,33.58883220000001,-117.7347232,8.333,1.6291015026065625
11,21 Pierremont,Aliso Viejo,CA,92656,1050000,4,2.5,1965.0,3259.0,2000.0,39.0,534.0,http://www.redfin.com/CA/Aliso-Viejo/21-Pierremont-92656/home/4867020,OC21152833,33.5761225,-117.73162079999999,8.333,1.6291015026065625
12,12 Roundtree Ct,Aliso Viejo,CA,92656,2500000,5,4.0,3642.0,6867.0,2000.0,52.0,686.0,http://www.redfin.com/CA/Aliso-Viejo/12-Roundtree-Ct-92656/home/5773870,OC21140075,33.5669424,-117.74049850000002,8.333,1.6291015026065625
13,32 Groveside Dr,Aliso Viejo,CA,92656,1795000,5,3.0,3280.0,6356.0,1999.0,87.0,547.0,http://www.redfin.com/CA/Aliso-Viejo/32-Groveside-Dr-92656/home/4869619,OC21112699,33.573563799999995,-117.7384827,8.333,1.6291015026065625
14,6692 Mount Lowe Dr,Buena Park,CA,90620,728000,4,1.5,1527.0,6000.0,1959.0,38.0,477.0,http://www.redfin.com/CA/Buena-Park/6692-Mt-Lowe-Dr-90620/home/3662782,OC21142567,33.8209737,-118.01611570000001,4.667,3.4628840707332746
15,1645 S Euclid St,Anaheim,CA,92802,900000,3,1.5,1129.0,8917.0,1955.0,1.0,797.0,http://www.redfin.com/CA/Anaheim/1645-S-Euclid-St-92804/home/3610070,OC21185418,33.806411700000005,-117.94171920000001,3.0,5.244735081770581
16,11192 Lindaloa Ln,Garden Grove,CA,92840,799000,3,2.5,1675.0,7203.0,1955.0,1.0,477.0,http://www.redfin.com/CA/Garden-Grove/11192-Lindaloa-Ln-92840/home/3405027,PW21185194,33.8003895,-117.93824109999998,3.333,3.826716061157669
17,2658 N River Trail Rd,Orange,CA,92865,775000,3,2.5,1987.0,3450.0,1984.0,2.0,390.0,http://www.redfin.com/CA/Orange/2658-N-River-Trail-Rd-92865/home/4357068,PW21182109,33.832887899999996,-117.86298899999998,5.667,3.559405622145507
18,120 S Carousel St,Anaheim,CA,92806,850000,4,3.0,2363.0,5580.0,1970.0,2.0,360.0,http://www.redfin.com/CA/Anaheim/120-S-Carousel-St-92806/home/4049627,PW21183619,33.8404645,-117.8736784,3.0,5.244735081770581
19,8685 Carnation Dr,Buena Park,CA,90620,785000,3,1.75,1552.0,6300.0,1958.0,2.0,506.0,http://www.redfin.com/CA/Buena-Park/8685-Carnation-Dr-90620/home/3306341,PW21174960,33.852099700000004,-117.98184950000001,3.333,3.4628840707332746
20,6715 Via Riviera Way,Buena Park,CA,90620,744000,3,2.0,1618.0,6600.0,1957.0,3.0,460.0,http://www.redfin.com/CA/Buena-Park/6715-Via-Riviera-Way-90620/home/3660205,OC21179720,33.8270099,-118.0157497,5.0,3.4628840707332746
21,1232 E Sycamore St,Anaheim,CA,92805,749000,3,2.0,1446.0,6820.0,1950.0,4.0,518.0,http://www.redfin.com/CA/Anaheim/1232-E-Sycamore-St-92805/home/3204479,OC21183196,33.84255170000001,-117.9026784,2.333,5.244735081770581
22,6652 Vista Loma,Yorba Linda,CA,92886,675000,3,2.5,1733.0,2977.0,1979.0,4.0,389.0,http://www.redfin.com/CA/Yorba-Linda/6652-Vista-Loma-92886/home/17477109,PW21182486,33.8648174,-117.7890324,8.0,0.8341137906813393
23,2702 E Sycamore St,Anaheim,CA,92806,775000,3,2.5,1632.0,7200.0,1962.0,4.0,475.0,http://www.redfin.com/CA/Anaheim/2702-E-Sycamore-St-92806/home/4051706,OC21182945,33.8456679,-117.87319769999999,3.0,5.244735081770581
24,214 N Ventura St,Anaheim,CA,92801,724900,3,2.0,1527.0,7214.0,1957.0,4.0,475.0,http://www.redfin.com/CA/Anaheim/214-N-Ventura-St-92801/home/3323679,OC21179557,33.8343908,-117.9629981,4.333,5.244735081770581
25,865 S Annika St,Anaheim,CA,92806,899900,5,2.5,2547.0,5360.0,1971.0,4.0,353.0,http://www.redfin.com/CA/Anaheim/865-S-Annika-St-92806/home/4004921,PW21182054,33.828567,-117.8829488,3.667,5.244735081770581
26,1851 W Random Dr,Anaheim,CA,92804,759000,3,2.0,1521.0,6000.0,1957.0,4.0,499.0,http://www.redfin.com/CA/Anaheim/1851-W-Random-Dr-92804/home/3603915,PW21182430,33.824647999999996,-117.94860200000001,3.333,5.244735081770581
27,1301 W Laster Ave,Anaheim,CA,92802,770000,4,2.0,1310.0,7590.0,1954.0,5.0,588.0,http://www.redfin.com/CA/Anaheim/1301-Laster-Ave-92802/home/3616598,PW21182274,33.8067482,-117.93050670000001,3.333,5.244735081770581
28,202 N Plantation Pl,Anaheim,CA,92806,810000,3,2.0,1596.0,10000.0,1962.0,5.0,508.0,http://www.redfin.com/CA/Anaheim/202-N-Plantation-Pl-92806/home/4051388,OC21181967,33.8420614,-117.8723278,3.0,5.244735081770581
29,1135 N Louise Dr,Anaheim,CA,92805,599900,5,2.0,2020.0,10260.0,1952.0,5.0,297.0,http://www.redfin.com/CA/Anaheim/1135-N-Louise-Dr-92805/home/3340426,PW21180364,33.850291799999994,-117.89922240000001,2.667,5.244735081770581
