SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6692 Mount Lowe Dr,Buena Park,CA,90620,728000,4,1.5,82 - Buena Park,1527,6000,1959,38,477,,Active,,,http://www.redfin.com/CA/Buena-Park/6692-Mt-Lowe-Dr-90620/home/3662782,CRMLS,OC21142567,N,Y,33.8209737,-118.0161157
MLS Listing,,Single Family Residential,7284 Chippewa Cir,Buena Park,CA,90620,675000,3,1.5,82 - Buena Park,1193,6552,1959,1,566,,Active,,,http://www.redfin.com/CA/Buena-Park/7284-Chippewa-Cir-90620/home/4042292,CRMLS,PW21185529,N,Y,33.8551336,-118.0167104
MLS Listing,,Single Family Residential,4207 W Porter Ave,Fullerton,CA,92833,590000,3,1.75,83 - Fullerton,1245,6000,1961,2,474,,Active,August-22-2021 03:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Fullerton/4207-W-Porter-Ave-92833/home/3310712,CRMLS,OC21182128,N,Y,33.8610227,-117.9816665
MLS Listing,,Single Family Residential,8685 Carnation Dr,Buena Park,CA,90620,785000,3,1.75,82 - Buena Park,1552,6300,1958,2,506,,Active,,,http://www.redfin.com/CA/Buena-Park/8685-Carnation-Dr-90620/home/3306341,CRMLS,PW21174960,N,Y,33.8520997,-117.9818495
MLS Listing,,Single Family Residential,7791 Pavonia Cir,Buena Park,CA,90620,739000,3,1.0,699 - Not Defined,1311,7560,1959,3,564,,Active,,,http://www.redfin.com/CA/Buena-Park/7791-Pavonia-Cir-90620/home/3308028,CRMLS,PW21181132,N,Y,33.8496203,-117.9840915
MLS Listing,,Single Family Residential,6715 Via Riviera Way,Buena Park,CA,90620,744000,3,2.0,82 - Buena Park,1618,6600,1957,3,460,,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Buena-Park/6715-Via-Riviera-Way-90620/home/3660205,CRMLS,OC21179720,N,Y,33.8270099,-118.0157497
MLS Listing,,Single Family Residential,8241 Holder St,Buena Park,CA,90620,780000,3,2.0,Buena Park,1072,7260,1955,3,728,,Active,,,http://www.redfin.com/CA/Buena-Park/8241-Holder-St-90620/home/3295332,TheMLS,21-774574,N,Y,33.8441295,-118.0170306
MLS Listing,,Single Family Residential,8171 Holder St,Buena Park,CA,90620,830000,3,2.0,82 - Buena Park,1400,7370,1955,4,593,,Active,August-22-2021 01:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Buena-Park/8171-Holder-St-90620/home/3295221,CRMLS,PW21171639,N,Y,33.844138,-118.0152008
MLS Listing,,Single Family Residential,7209 Van Buren Way,Buena Park,CA,90620,759900,4,2.0,82 - Buena Park,1286,6000,1956,4,591,,Active,,,http://www.redfin.com/CA/Buena-Park/7209-Van-Buren-Way-90620/home/3675254,CRMLS,RS21180358,N,Y,33.8378807,-118.0076527
MLS Listing,,Single Family Residential,6647 San Homero Way,Buena Park,CA,90620,699800,3,1.75,82 - Buena Park,1187,6000,1957,4,590,,Active,,,http://www.redfin.com/CA/Buena-Park/6647-San-Homero-Way-90620/home/3296678,CRMLS,PW21182479,N,Y,33.837188,-118.017488
