SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3521 Pansy Cir,Seal Beach,CA,90740,1285000,4,2.5,48 - College Park East,2727,6098,1968,30,471,,Active,,,http://www.redfin.com/CA/Seal-Beach/3521-Pansy-Cir-90740/home/3928840,CRMLS,OC21158135,N,Y,33.7749778,-118.0485457
MLS Listing,,Single Family Residential,4400 Birchwood Ave,Seal Beach,CA,90740,1349000,4,2.5,48 - College Park East,1914,5200,1968,1,705,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Seal-Beach/4400-Birchwood-Ave-90740/home/3930106,CRMLS,PW21185093,N,Y,33.7757001,-118.0542627
MLS Listing,,Single Family Residential,4188 Candleberry Ave,Seal Beach,CA,90740,1050000,4,2.0,1A - Seal Beach,1914,5148,1971,2,549,,Active,,,http://www.redfin.com/CA/Seal-Beach/4188-Candleberry-Ave-90740/home/3932033,CRMLS,RS21184628,N,Y,33.7773368,-118.059202
MLS Listing,,Single Family Residential,120 1st St,Seal Beach,CA,90740,2650000,3,3.5,1A - Seal Beach,3102,2820,1992,6,854,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Seal-Beach/120-1st-St-90740/home/3905649,CRMLS,PW21180713,N,Y,33.7439895,-118.1121878
MLS Listing,,Single Family Residential,1145 Catalina Ave,Seal Beach,CA,90740,2780000,5,3.5,1A - Seal Beach,3700,7650,2001,11,751,,Active,,,http://www.redfin.com/CA/Seal-Beach/1145-Catalina-Ave-90740/home/3904701,CRMLS,PW21174815,N,Y,33.748241,-118.0989857
MLS Listing,,Single Family Residential,42 Riversea Rd #42,Seal Beach,CA,90740,975000,2,1.75,1A - Seal Beach,1200,700,2010,11,813,603,Active,,,http://www.redfin.com/CA/Seal-Beach/42-Riversea-Rd-90740/unit-42/home/28932318,CRMLS,PW21174288,N,Y,33.7478796,-118.111292
MLS Listing,,Single Family Residential,12431 Kensington Rd,Rossmoor,CA,90720,2499000,4,3.5,51 - Rossmoor,3800,7700,2000,24,658,,Active,,,http://www.redfin.com/CA/Los-Alamitos/12431-Kensington-Rd-90720/home/3378001,CRMLS,NDP2108820,N,Y,33.7820793,-118.0883776
MLS Listing,,Single Family Residential,1201 Rd Oakmont,Seal Beach,CA,90740,240000,2,1.0,1A - Seal Beach,1110,2000,1962,30,216,426,Active,,,http://www.redfin.com/CA/Seal-Beach/1201-Oakmont-Rd-90740/unit-M8-196-H/home/170669940,CRMLS,DW21162080,N,Y,33.7687027,-118.0898536
MLS Listing,,Single Family Residential,130 Anderson St,Sunset Beach,CA,90742,1999000,4,3.0,699 - Not Defined,2300,2460,1930,73,869,,Active,,,http://www.redfin.com/CA/Sunset-Beach/130-Anderson-St-90742/home/3875001,CRMLS,OC21125526,N,Y,33.7242175,-118.0780285
MLS Listing,,Single Family Residential,1 Anderson,Seal Beach,CA,90740,4950000,4,3.25,1A - Seal Beach,2828,1225,1984,82,1750,,Active,,,http://www.redfin.com/CA/Seal-Beach/1-Anderson-St-90740/home/3874988,CRMLS,WS21116962,N,Y,33.7243319,-118.0784091
MLS Listing,,Single Family Residential,308 Ocean Ave,Seal Beach,CA,90740,11995000,6,8.5,1A - Seal Beach,8646,11760,2004,118,1387,,Active,,,http://www.redfin.com/CA/Seal-Beach/308-Ocean-Ave-90740/home/3904470,CRMLS,NP21073512,N,Y,33.7421143,-118.1110334
MLS Listing,,Single Family Residential,75 A Surfside,Surfside,CA,90743,5449000,4,4.0,699 - Not Defined,3500,1671,1960,125,1557,90,Active,,,http://www.redfin.com/CA/SEAL-BEACH/75-A-SURFSIDE-90740/home/3873618,CRMLS,NP21082598,N,Y,33.727723,-118.083361
