,Listing URL,School Name,School Rating,School Type,School Grades
0,http://www.redfin.com/CA/Aliso-Viejo/11-Hazelbranch-92656/home/4857179,Don Juan Avila Elementary,8.0,Public,K to 5
1,http://www.redfin.com/CA/Aliso-Viejo/11-Hazelbranch-92656/home/4857179,Don Juan Avila Middle,8.0,Public,6 to 8
2,http://www.redfin.com/CA/Aliso-Viejo/11-Hazelbranch-92656/home/4857179,Aliso Niguel High,9.0,Public,9 to 12
3,http://www.redfin.com/CA/Laguna-Beach/11-Sanderling-Ln-92656/home/4852010,El Morro Elementary,9.0,Public,K to 5
4,http://www.redfin.com/CA/Laguna-Beach/11-Sanderling-Ln-92656/home/4852010,Thurston Middle,9.0,Public,6 to 8
5,http://www.redfin.com/CA/Laguna-Beach/11-Sanderling-Ln-92656/home/4852010,Laguna Beach High,9.0,Public,9 to 12
6,http://www.redfin.com/CA/Aliso-Viejo/5-Skygate-92656/home/4856114,Don Juan Avila Elementary,8.0,Public,K to 5
7,http://www.redfin.com/CA/Aliso-Viejo/5-Skygate-92656/home/4856114,Don Juan Avila Middle,8.0,Public,6 to 8
8,http://www.redfin.com/CA/Aliso-Viejo/5-Skygate-92656/home/4856114,Aliso Niguel High,9.0,Public,9 to 12
9,http://www.redfin.com/CA/Aliso-Viejo/15-Starling-Ln-92656/home/4851562,Top of the World Elementary,9.0,Public,K to 5
10,http://www.redfin.com/CA/Aliso-Viejo/15-Starling-Ln-92656/home/4851562,Thurston Middle,9.0,Public,6 to 8
11,http://www.redfin.com/CA/Aliso-Viejo/15-Starling-Ln-92656/home/4851562,Laguna Beach High,9.0,Public,9 to 12
12,http://www.redfin.com/CA/Aliso-Viejo/78-Summerland-Cir-92656/home/17472883,Oak Grove Elementary,7.0,Public,K to 5
13,http://www.redfin.com/CA/Aliso-Viejo/78-Summerland-Cir-92656/home/17472883,Aliso Viejo Middle,7.0,Public,6 to 8
14,http://www.redfin.com/CA/Aliso-Viejo/78-Summerland-Cir-92656/home/17472883,Aliso Niguel High,9.0,Public,9 to 12
15,http://www.redfin.com/CA/Aliso-Viejo/42-Dawn-Ln-92656/home/4869998,Canyon Vista Elementary,8.0,Public,K to 5
16,http://www.redfin.com/CA/Aliso-Viejo/42-Dawn-Ln-92656/home/4869998,Don Juan Avila Middle,8.0,Public,6 to 8
17,http://www.redfin.com/CA/Aliso-Viejo/42-Dawn-Ln-92656/home/4869998,Aliso Niguel High,9.0,Public,9 to 12
